Source,JN Criteria
breitbart.com,"Bias (Right Wing), Style, Credibility, Professionalism"
thegatewaypundit.com,"Bias (Right Wing), Style, Credibility, Professionalism"
libertyheadlines.com,"Bias (Right Wing), Style, Credibility"
theblacksphere.net,"Bias (Right Wing), Credibility, Style, Professionalism"
dailywire.com,"Bias (Right Wing), Style, Credibility"
thefederalist.com,"Bias (Right Wing), Style, Credibility"
rawstory.com,"Bias (Left Wing), Credibility, Professionalism"
thedailydigest.org,"Credibility, Counterfeit, Bias (Right Wing), Professionalism"
lifenews.com,"Bias (Right Wing), Style, Credibility, Professionalism"
infowars.com,"Bias (Right Wing), Style, Credibility, Professionalism"
dailycaller.com,"Bias (Right Wing), Style, Professionalism"
zerohedge.com,"Credibility, Professionalism, Style"
barenakedislam.com,"Bias (Right Wing), Style, Credibility, Professionalism"
pjmedia.com,"Professionalism, Counterfeit, Credibility"
americanthinker.com,"Bias (Right Wing), Style, Credibility, Counterfeit"
newrightnetwork.com,"Counterfeit, Style, Bias (Right Wing)"
gellerreport.com,"Bias (Right Wing), Style, Credibility, Counterfeit"
davidharrisjr.com,"Bias (Right Wing), Style, Professionalism"
theoldschoolpatriot.com,"Style, Bias (Right Wing), Credibility"
100percentfedup.com,"Bias (Right Wing), Style, Credibility, Professionalism"
committedconservative.com,"Bias (Right Wing), Style, Credibility, Professionalism"
truthfeednews.com,"Professionalism, Counterfeit, Credibility, Bias (Right Wing)"
michaelsavage.com,"Bias (Right Wing), Style, Credibility"
bigleaguepolitics.com,"Bias (Right Wing), Style, Credibility"
cnsnews.com,"Bias (Right Wing), Style, Credibility, Professionalism"
truepundit.com,"Bias (Right Wing), Style, Professionalism"
thepoliticalinsider.com,"Professionalism, Credibility, Counterfeit, Bias (Right Wing)"
hotair.com,"Bias (Right Wing), Style, Credibility"
lifezette.com,"Bias (Right Wing), Style, Credibility, Professionalism"
canadafreepress.com,"Bias (Right Wing), Style, Credibility, Professionalism"
shareblue.com,"Bias (Left Wing), Professionalism, Counterfeit"
wnd.com,"Counterfeit, Bias (Right Wing), Professionalism"
bizpaCredibilityeview.com,"Bias (Right Wing), Style, Professionalism"
rushlimbaugh.com,"Bias (Right Wing), Professionalism, Style"
theblaze.com,"Professionalism, Bias (Right Wing), Counterfeit"
frontpagemag.com,"Bias (Right Wing), Style, Credibility, Professionalism"
red-pilled.com,requires login
redstate.com,"Bias (Right Wing), Style, Counterfeit, Professionalism"
palmerreport.com,"Bias (Left Wing), Professionalism, Style"
chicksonright.com,"Bias (Right Wing), Style, Credibility"
nworeport.me,"Style, Bias (Right Wing), Professionalism, Counterfeit"
en-volve.com,"Bias (Right Wing), Style, Credibility"
magaoneradio.net,"Bias (Right Wing), Style, Professionalism, JN Aggregator "
twitchy.com,"Style, Bias (Right Wing), Professionalism"
naturalnews.com,"Bias (Right Wing), Style, Credibility, Professionalism"
westernfreepress.com,"Professionalism, Style, Bias (Right Wing)"
legalinsurreCounterfeition.com,"Bias (Right Wing), Style, Professionalism, Counterfeit"
conservativedailypost.com,"Bias (Right Wing), Style, Credibility, Professionalism"
therightscoop.com,"Bias (Right Wing), Style, Professionalism"
conspiracydailyupdate.com,"Credibility, Style, JN Aggregator"
